name,time,tem
AUX,2020-03-09T07:37:43.452141,28.25
MT,2020-03-09T07:37:44.385317,25.5625
HLT,2020-03-09T07:37:45.330053,25.875
BK,2020-03-09T07:37:47.276537,22.0
AUX,2020-03-09T07:37:48.192196,28.3125
MT,2020-03-09T07:37:49.152414,25.5625
HLT,2020-03-09T07:37:50.111897,25.875
BK,2020-03-09T07:37:51.996856,22.0
AUX,2020-03-09T07:37:52.913954,28.375
MT,2020-03-09T07:37:53.872337,25.625
HLT,2020-03-09T07:37:54.831991,26.0
BK,2020-03-09T07:37:56.716811,22.0
AUX,2020-03-09T07:37:57.653294,28.4375
MT,2020-03-09T07:37:58.591944,25.75
HLT,2020-03-09T07:37:59.552826,26.0
BK,2020-03-09T07:38:01.518593,22.0
AUX,2020-03-09T07:38:02.431563,28.4375
MT,2020-03-09T07:38:03.392208,25.75
HLT,2020-03-09T07:38:04.354279,26.0625
BK,2020-03-09T07:38:06.314692,22.0
AUX,2020-03-09T07:38:07.234042,28.5
MT,2020-03-09T07:38:08.192641,25.75
HLT,2020-03-09T07:38:09.152314,26.125
BK,2020-03-09T07:38:11.115022,22.0
AUX,2020-03-09T07:38:12.114689,28.5625
MT,2020-03-09T07:38:13.074507,25.75
HLT,2020-03-09T07:38:14.032212,26.1875
BK,2020-03-09T07:38:15.995011,22.0
AUX,2020-03-09T07:38:16.913103,28.5625
MT,2020-03-09T07:38:17.871435,25.8125
HLT,2020-03-09T07:38:18.752021,26.1875
BK,2020-03-09T07:38:20.635001,22.0
AUX,2020-03-09T07:38:21.553348,28.625
MT,2020-03-09T07:38:22.532873,25.875
HLT,2020-03-09T07:38:23.472332,26.1875
BK,2020-03-09T07:38:25.434909,22.0
AUX,2020-03-09T07:38:26.432995,28.75
MT,2020-03-09T07:38:27.439696,25.9375
HLT,2020-03-09T07:38:28.380245,26.3125
BK,2020-03-09T07:38:30.343602,22.0
AUX,2020-03-09T07:38:31.269650,28.8125
MT,2020-03-09T07:38:32.191962,26.0
HLT,2020-03-09T07:38:33.151781,26.375
BK,2020-03-09T07:38:35.034083,22.0
AUX,2020-03-09T07:38:35.954204,28.8125
MT,2020-03-09T07:38:36.911268,26.0625
HLT,2020-03-09T07:38:37.791996,26.375
BK,2020-03-09T07:38:39.750965,22.0
AUX,2020-03-09T07:38:40.674286,28.8125
MT,2020-03-09T07:38:41.632117,26.125
HLT,2020-03-09T07:38:42.593123,26.4375
BK,2020-03-09T07:38:44.554634,22.0625
AUX,2020-03-09T07:38:45.473848,28.875
MT,2020-03-09T07:38:46.433492,26.125
HLT,2020-03-09T07:38:47.391277,26.5
BK,2020-03-09T07:38:49.354566,22.0
AUX,2020-03-09T07:38:50.277817,28.9375
MT,2020-03-09T07:38:51.235777,26.1875
HLT,2020-03-09T07:38:52.253706,26.5
BK,2020-03-09T07:38:54.156277,22.0
AUX,2020-03-09T07:38:55.074060,29.0625
MT,2020-03-09T07:38:56.033956,26.1875
HLT,2020-03-09T07:38:56.994772,26.5625
BK,2020-03-09T07:38:58.954493,22.0
AUX,2020-03-09T07:38:59.871634,29.0625
MT,2020-03-09T07:39:00.753906,26.25
HLT,2020-03-09T07:39:01.711548,26.625
BK,2020-03-09T07:39:03.594225,22.0625
AUX,2020-03-09T07:39:04.511718,29.125
MT,2020-03-09T07:39:05.391725,26.3125
HLT,2020-03-09T07:39:06.295570,26.6875
BK,2020-03-09T07:39:08.234115,22.0
AUX,2020-03-09T07:39:09.152315,29.1875
MT,2020-03-09T07:39:10.111721,26.375
HLT,2020-03-09T07:39:10.993193,26.6875
BK,2020-03-09T07:39:12.955721,22.0
AUX,2020-03-09T07:39:14.316281,29.1875
MT,2020-03-09T07:39:15.277224,26.375
HLT,2020-03-09T07:39:16.198358,26.8125
BK,2020-03-09T07:39:18.194381,22.0
AUX,2020-03-09T07:39:19.152395,29.25
MT,2020-03-09T07:39:20.111737,26.5
HLT,2020-03-09T07:39:21.013699,26.8125
BK,2020-03-09T07:39:22.974082,22.0625
AUX,2020-03-09T07:39:23.872626,29.3125
MT,2020-03-09T07:39:24.831356,26.5625
HLT,2020-03-09T07:39:25.713580,26.875
BK,2020-03-09T07:39:27.674751,22.0
AUX,2020-03-09T07:39:28.593756,29.375
MT,2020-03-09T07:39:29.554816,26.5625
HLT,2020-03-09T07:39:30.515671,26.9375
BK,2020-03-09T07:39:32.476830,22.0
AUX,2020-03-09T07:39:33.391838,29.4375
MT,2020-03-09T07:39:34.271766,26.625
HLT,2020-03-09T07:39:35.151797,27.0
BK,2020-03-09T07:39:37.036723,22.0
AUX,2020-03-09T07:39:37.953680,29.5
MT,2020-03-09T07:39:38.911855,26.6875
HLT,2020-03-09T07:39:39.791746,27.0
BK,2020-03-09T07:39:41.676024,22.0
AUX,2020-03-09T07:39:42.592523,29.5
MT,2020-03-09T07:39:43.552072,26.6875
HLT,2020-03-09T07:39:44.511906,27.0625
BK,2020-03-09T07:39:46.396709,22.0
AUX,2020-03-09T07:39:47.313865,29.5625
MT,2020-03-09T07:39:48.271600,26.75
HLT,2020-03-09T07:39:49.151553,27.125
BK,2020-03-09T07:39:51.034502,22.0
AUX,2020-03-09T07:39:51.953981,29.625
MT,2020-03-09T07:39:52.911702,26.8125
HLT,2020-03-09T07:39:53.793539,27.1875
BK,2020-03-09T07:39:55.754571,22.0
AUX,2020-03-09T07:39:56.673996,29.6875
MT,2020-03-09T07:39:57.631894,26.875
HLT,2020-03-09T07:39:58.512245,27.1875
BK,2020-03-09T07:40:00.474474,22.0
AUX,2020-03-09T07:40:01.392817,29.75
MT,2020-03-09T07:40:02.354370,26.9375
HLT,2020-03-09T07:40:03.312030,27.25
BK,2020-03-09T07:40:05.196013,22.0
AUX,2020-03-09T07:40:06.113658,29.8125
MT,2020-03-09T07:40:07.071894,26.9375
HLT,2020-03-09T07:40:07.951882,27.3125
BK,2020-03-09T07:40:09.834340,22.0
AUX,2020-03-09T07:40:10.773695,29.875
MT,2020-03-09T07:40:11.712410,27.0
HLT,2020-03-09T07:40:12.671215,27.375
BK,2020-03-09T07:40:14.555415,22.0
AUX,2020-03-09T07:40:15.474408,29.9375
MT,2020-03-09T07:40:16.484319,27.0625
HLT,2020-03-09T07:40:17.393718,27.375
BK,2020-03-09T07:40:20.235745,22.0
AUX,2020-03-09T07:40:21.173920,29.9375
MT,2020-03-09T07:40:22.113947,27.125
HLT,2020-03-09T07:40:23.072575,27.4375
BK,2020-03-09T07:40:25.034650,22.0
AUX,2020-03-09T07:40:25.950866,29.9375
MT,2020-03-09T07:40:26.914437,27.125
HLT,2020-03-09T07:40:27.872442,27.4375
BK,2020-03-09T07:40:29.838667,22.0
AUX,2020-03-09T07:40:30.754069,29.9375
MT,2020-03-09T07:40:31.752147,27.1875
HLT,2020-03-09T07:40:32.672080,27.5625
BK,2020-03-09T07:40:34.632229,22.0
AUX,2020-03-09T07:40:35.551341,30.0
MT,2020-03-09T07:40:36.434259,27.3125
HLT,2020-03-09T07:40:37.393591,27.625
BK,2020-03-09T07:40:39.355636,22.0
AUX,2020-03-09T07:40:40.292620,30.0
MT,2020-03-09T07:40:41.275695,27.375
HLT,2020-03-09T07:40:42.197134,27.625
BK,2020-03-09T07:40:44.154601,22.0625
AUX,2020-03-09T07:40:45.074512,30.125
MT,2020-03-09T07:40:46.039502,27.4375
HLT,2020-03-09T07:40:47.037011,27.6875
BK,2020-03-09T07:40:49.309038,22.0625
AUX,2020-03-09T07:40:50.232638,30.1875
MT,2020-03-09T07:40:51.192023,27.5
HLT,2020-03-09T07:40:52.152004,27.75
BK,2020-03-09T07:40:54.109584,22.0
AUX,2020-03-09T07:40:55.053171,30.25
MT,2020-03-09T07:40:56.033687,27.5
HLT,2020-03-09T07:40:56.993842,27.8125
BK,2020-03-09T07:40:58.954586,22.0
AUX,2020-03-09T07:40:59.872297,30.25
MT,2020-03-09T07:41:00.834110,27.5625
HLT,2020-03-09T07:41:01.791797,27.875
BK,2020-03-09T07:41:03.674168,22.0
AUX,2020-03-09T07:41:04.591993,30.3125
MT,2020-03-09T07:41:05.552803,27.625
HLT,2020-03-09T07:41:06.513454,27.9375
BK,2020-03-09T07:41:08.474712,22.0625
AUX,2020-03-09T07:41:09.391942,30.375
MT,2020-03-09T07:41:10.272439,27.6875
HLT,2020-03-09T07:41:11.235322,27.9375
BK,2020-03-09T07:41:13.195499,22.0
AUX,2020-03-09T07:41:14.114513,30.4375
MT,2020-03-09T07:41:15.071832,27.8125
HLT,2020-03-09T07:41:16.034106,28.0
BK,2020-03-09T07:41:17.994533,22.0625
AUX,2020-03-09T07:41:18.913192,30.4375
MT,2020-03-09T07:41:19.934964,27.875
HLT,2020-03-09T07:41:20.871909,28.0625
